Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
A0450a,A71EV2A-x0450_A_201_v1,A71EV2A-x0450,Z100642432,CN(C)C(=O)c1ccc(F)cc1Br,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0450a,True
A0451a,A71EV2A-x0451_A_201_v1,A71EV2A-x0451,Z100643660,CNC(=O)c1cn(C)c2ccccc12,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A0451a,True
A0469a,A71EV2A-x0469_A_147_v1,A71EV2A-x0469,Z104924088,CC(C)N1CCN(c2ncccn2)CC1,A71EV2A-x0540/A/87/A_v1,False,5b - A71EV2A-x0469/A/147,5 - A71EV2A-x0540/A/147/1,F1r - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71/2A/open,5b - A0469/A/147,5 - A0540/A/147/1,F1r - A0525/A/246,A1 - monomer,F1 - A71/2A/open,5b - A0469/A/147,5 - A0540/A/147/1,F1r - A0525/A/246,A1 - monomer,F1 - A71/2A/open,A0469a,True
A0473a,A71EV2A-x0473_A_147_v1,A71EV2A-x0473,Z1082839290,O=S(=O)(NC1CCCC1)C1CCOCC1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A0473a,True
A0486a,A71EV2A-x0486_A_147_v1,A71EV2A-x0486,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,A71EV2A-x0486/A/143/A_v1,False,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1s - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1s - A0486/A/147,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1s - A0486/A/147,A1 - monomer,F1 - A71/2A/open,A0486a,True
A0487a,A71EV2A-x0487_A_250_v1,A71EV2A-x0487,Z1148747945,CC(=O)Nc1ccncc1C,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,A0487a,True
A0488a,A71EV2A-x0488_A_147_v1,A71EV2A-x0488,Z1154747269,O=c1ccncn1CCO,A71EV2A-x0488/A/68/A_v1,False,7b - A71EV2A-x0488/A/147,7 - A71EV2A-x0488/A/147/1,F1t - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71/2A/open,7b - A0488/A/147,7 - A0488/A/147/1,F1t - A0488/A/147,A1 - monomer,F1 - A71/2A/open,7b - A0488/A/147,7 - A0488/A/147/1,F1t - A0488/A/147,A1 - monomer,F1 - A71/2A/open,A0488a,True
A0497a,A71EV2A-x0497_A_147_v1,A71EV2A-x0497,Z1198158918,N#Cc1n[nH]c2ccccc12,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F2k - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A0497a,True
A0501a,A71EV2A-x0501_A_151_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,A0501a,True
A0501b,A71EV2A-x0501_A_152_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F3d - A71EV2A-x0501/A/152/1,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3d - A0501/A/152,A1 - monomer,F3 - A71/2A/open/long/cell,1a - A0526/A/147,1 - A0526/A/147/1,F3d - A0501/A/152,A1 - monomer,F3 - A71/2A/open/long/cell,A0501a,True
A0514b,A71EV2A-x0514_A_250_v1,A71EV2A-x0514,Z1201620232,COc1ccc2sc(N)nc2c1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F3o - A71EV2A-x0514/A/250/1,A1 - monomer,F3 - A71/2A/open/long/cell,4a - A3181/A/202,4 - A3181/A/202/1,F3o - A0514/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,4a - A3181/A/202,4 - A3181/A/202/1,F3o - A0514/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,A0514b,True
