Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] upload_1 2024-11-13,[Other] fragment screen,[Other] DENV-3,[Other] Thumb Site 2,[Other] external,[Other] Primer grip,[Other] New,[Other] DENV-2,[Other] Green Site,[Other] Active site,[Other] unconfirmed
3vws-b,3vws_A_1004_v1,3vws,,Cc1oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2c1C(=O)O,3vws/A/603/A_v1,False,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,3vws-a,True,False,True,False,False,False,False,False,False,False,False
3vws-a,3vws_A_1003_v1,3vws,,Cc1oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2c1C(=O)O,3vws/A/603/A_v1,False,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,3vws-a,True,False,True,False,True,False,False,False,False,False,False
5iq6-a,5iq6_A_1003_v1,5iq6,,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12,3vws/A/603/A_v1,False,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2k - 5iq6/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2k - 5iq6/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2k - 5iq6/A/1003/1,A1 - monomer,F2 - C2221,5iq6-a,True,False,True,False,True,False,False,False,False,False,False
6xd0-a,6xd0_A_1008_v1,6xd0,,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NC1(C(=O)O)Cc2ccccc2C1,3vws/A/603/A_v1,False,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,4a - 3vws/A/1003,4 - 3vws/A/1003/1,F2j - 3vws/A/1003/1,A1 - monomer,F2 - C2221,6xd0-a,True,False,True,False,True,False,False,False,False,False,False
5i3p-a,5i3p_A_1003_v1,5i3p,,COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(OC)cc2OC)c1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5i3p-a,True,False,True,False,True,False,False,False,False,False,False
5hn0-a,5hn0_A_1003_v1,5hn0,,O=C(O)Cc1ccc(O)c(-c2ccccc2)c1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5hn0-a,True,False,True,False,True,False,False,False,False,False,False
5f41-a,5f41_A_1003_v1,5f41,,COc1ccc(CC(=O)O)cc1-c1ccsc1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5f41-a,True,False,True,False,True,False,False,False,False,False,False
6h80-a,6h80_A_1001_v1,6h80,,COc1ccc(CC(=O)O)cc1-c1cccs1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2e - 6h80/A/1001/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2e - 6h80/A/1001/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2e - 6h80/A/1001/1,A1 - monomer,F2 - C2221,6h80-a,True,False,True,False,True,False,False,False,False,False,False
5hmy-a,5hmy_A_1003_v1,5hmy,,O=C(O)Cc1cc(CC(=O)O)cc(-c2ccc(C#CCO)s2)c1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5hmy-a,True,False,True,False,True,False,False,False,False,False,False
5i3q-a,5i3q_A_1003_v1,5i3q,,COc1cc(C)c(C(=O)NS(=O)(=O)c2cccc3cccnc23)cc1-c1ccc(C#CCO)s1,5i3p/A/799/A_v1,False,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,2a - 5i3p/A/1003,2 - 5i3p/A/1003/1,F2d - 5i3p/A/1003/1,A1 - monomer,F2 - C2221,5i3q-a,True,False,True,False,True,False,False,False,False,False,False
