Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
fa1384a,FATAATA-x1384_B_360_v1,FATAATA-x1384,Z89283908,O=C([O-])c1c[nH]c2ccccc12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1384a,True
fa1142b,FATAATA-x1142_A_360_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1142/A/182/A_v1,False,6a - FATAATA-x1142/A/360,6 - FATAATA-x1142/A/360/1,F1f - FATAATA-x1142/A/360/1,A1 - dimer,F1 - original-I222,6a - fa1142/A/360,6 - fa1142/A/360/1,F1f - fa1142/A/360,A1 - dimer,F1 - original-I222,fa1142b,True
fa1142d,FATAATA-x1142_B_501_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1142/A/182/A_v1,False,6a - FATAATA-x1142/A/360,6 - FATAATA-x1142/A/360/1,F1f - FATAATA-x1142/A/360/1,A1 - dimer,F1 - original-I222,6a - fa1142/A/360,6 - fa1142/A/360/1,F1f - fa1142/A/360,A1 - dimer,F1 - original-I222,fa1142b,True
fa1142a,FATAATA-x1142_A_361_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1142a,True
fa1142c,FATAATA-x1142_B_401_v1,FATAATA-x1142,Z1198147845,Oc1ccc2cn[nH]c2c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1142a,True
fa1147a,FATAATA-x1147_A_360_v1,FATAATA-x1147,Z56946871,Nc1ccc(F)cc1C(=O)[O-],FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1147a,True
fa1147b,FATAATA-x1147_B_401_v1,FATAATA-x1147,Z56946871,Nc1ccc(F)cc1C(=O)[O-],FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1147a,True
fa1163b,FATAATA-x1163_A_402_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1163b,True
fa1163d,FATAATA-x1163_B_401_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147/A/360,2 - FATAATA-x1147/A/360/1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147/A/360,2 - fa1147/A/360/1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1163b,True
fa1163a,FATAATA-x1163_A_401_v1,FATAATA-x1163,Z56912586,Nc1nc2ccccc2s1,FATAATA-x1840/A/111/A_v1,True,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1163a,True
